Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff,,
1.63066E+12,919,-1,-1,-1,2424,d0,,
1.63066E+12,919,-1,-1,-1,2458,d0,,
1.63066E+12,920,-1,-1,-1,2452,d0,,
1.63066E+12,920,-1,-1,-1,2484,d0,,
1.63066E+12,920,-1,-1,-1,2464,d0,,
1.63066E+12,920,-1,-1,-1,2470,d0,,
1.63066E+12,920,-1,-1,-1,2428,d0,,
1.63066E+12,920,-1,-1,-1,2480,d0,,
1.63066E+12,920,-1,-1,-1,2372,d0,,
1.63066E+12,920,-1,-1,-1,2670,d0,,
1.63066E+12,920,-1,-1,-1,2424,d0,,
1.63066E+12,920,-1,-1,-1,2458,d0,,
1.63066E+12,920,-1,-1,-1,2458,d0,,
1.63066E+12,920,-1,-1,-1,2434,d0,,
1.63066E+12,920,-1,-1,-1,2428,d0,,
1.63066E+12,920,-1,-1,-1,2460,d0,,
1.63066E+12,920,-1,-1,-1,2434,d0,,
1.63066E+12,921,-1,-1,-1,2442,d0,,
1.63066E+12,921,-1,-1,-1,2444,d0,,
1.63066E+12,921,-1,-1,-1,2458,d0,,
1.63066E+12,921,-1,-1,-1,2514,d0,,
1.63066E+12,921,-1,-1,-1,2444,d0,,
1.63066E+12,921,-1,-1,-1,2460,d0,,
1.63066E+12,921,-1,-1,-1,2454,d0,,
1.63066E+12,921,-1,-1,-1,2438,d0,,
1.63066E+12,922,-1,-1,-1,2460,d0,,
1.63066E+12,922,-1,-1,-1,2434,d0,,
1.63066E+12,922,-1,-1,-1,2448,d0,,
1.63066E+12,922,-1,-1,-1,2448,d0,,
1.63066E+12,922,-1,-1,-1,2454,d0,,
1.63066E+12,922,-1,-1,-1,2680,d0,,
1.63066E+12,922,-1,-1,-1,2442,d0,,
1.63066E+12,922,-1,-1,-1,2454,d0,,
1.63066E+12,923,-1,-1,-1,2488,d0,,
1.63066E+12,923,-1,-1,-1,2428,d0,,
1.63066E+12,923,-1,-1,-1,2458,d0,,
1.63066E+12,923,-1,-1,-1,2460,d0,,
1.63066E+12,923,-1,-1,-1,2428,d0,,
1.63066E+12,923,-1,-1,-1,2434,d0,,
1.63066E+12,923,-1,-1,-1,2460,d0,,
1.63066E+12,923,-1,-1,-1,2452,d0,,
1.63066E+12,923,-1,-1,-1,2570,d0,,
1.63066E+12,923,-1,-1,-1,2438,d0,,
1.63066E+12,923,-1,-1,-1,2438,d0,,
1.63066E+12,923,-1,-1,-1,2464,d0,,
1.63066E+12,923,-1,-1,-1,2438,d0,,
1.63066E+12,923,-1,-1,-1,2468,d0,,
1.63066E+12,923,-1,-1,-1,2488,d0,,
1.63066E+12,923,-1,-1,-1,2424,d0,,
1.63066E+12,923,-1,-1,-1,2444,d0,,
1.63066E+12,923,-1,-1,-1,2452,d0,,
1.63066E+12,924,-1,-1,-1,2428,d0,,
1.63066E+12,924,-1,-1,-1,2504,d0,,
1.63066E+12,924,-1,-1,-1,2470,d0,,
1.63066E+12,924,-1,-1,-1,2458,d0,,
1.63066E+12,924,-1,-1,-1,2460,d0,,
1.63066E+12,924,-1,-1,-1,2452,d0,,
1.63066E+12,924,-1,-1,-1,2484,d0,,
1.63066E+12,924,-1,-1,-1,2438,d0,,
1.63066E+12,924,-1,-1,-1,2428,d0,,
1.63066E+12,924,-1,-1,-1,2496,d0,,
1.63066E+12,924,-1,-1,-1,2382,d0,,
1.63066E+12,924,-1,-1,-1,2428,d0,,
1.63066E+12,924,-1,-1,-1,2566,d0,,
1.63066E+12,924,-1,-1,-1,2458,d0,,
1.63066E+12,924,-1,-1,-1,2444,d0,,
1.63066E+12,924,-1,-1,-1,2442,d0,,
1.63066E+12,924,-1,-1,-1,2470,d0,,
1.63066E+12,925,-1,-1,-1,2454,d0,,
1.63066E+12,925,-1,-1,-1,2552,d0,,
1.63066E+12,925,-1,-1,-1,2452,d0,,
1.63066E+12,925,-1,-1,-1,2454,d0,,
1.63066E+12,925,-1,-1,-1,2452,d0,,
1.63066E+12,925,-1,-1,-1,2424,d0,,
1.63066E+12,925,-1,-1,-1,2464,d0,,
1.63066E+12,6,-1,-1,-1,2452,d0,,
1.63066E+12,6,-1,-1,-1,2432,d0,,
1.63066E+12,6,-1,-1,-1,2470,d0,,
1.63066E+12,6,-1,-1,-1,2382,d0,,
1.63066E+12,6,-1,-1,-1,2438,d0,,
1.63066E+12,6,-1,-1,-1,2442,d0,,
1.63066E+12,7,-1,-1,-1,2458,d0,,
1.63066E+12,7,-1,-1,-1,2428,d0,,
1.63066E+12,7,-1,-1,-1,2428,d0,,
1.63066E+12,7,-1,-1,-1,2412,d0,,
1.63066E+12,7,-1,-1,-1,2458,d0,,
1.63066E+12,7,-1,-1,-1,2520,d0,,
1.63066E+12,7,-1,-1,-1,2402,d0,,
1.63066E+12,7,-1,-1,-1,2478,d0,,
1.63066E+12,7,-1,-1,-1,2470,d0,,
1.63066E+12,7,-1,-1,-1,2432,d0,,
1.63066E+12,7,-1,-1,-1,2458,d0,,
1.63066E+12,7,-1,-1,-1,2454,d0,,
1.63066E+12,7,-1,-1,-1,2428,d0,,
1.63066E+12,7,-1,-1,-1,2434,d0,,
1.63066E+12,7,-1,-1,-1,2460,d0,,
1.63066E+12,7,-1,-1,-1,2454,d0,,
1.63066E+12,7,-1,-1,-1,2444,d0,,
1.63066E+12,8,-1,-1,-1,2454,d0,,
1.63066E+12,8,-1,-1,-1,2454,d0,,
1.63066E+12,21,-1,-1,-1,2424,d0,,
1.63066E+12,22,-1,-1,-1,2454,d0,,
1.63066E+12,22,-1,-1,-1,2458,d0,,
1.63066E+12,22,-1,-1,-1,2434,d0,,
1.63066E+12,22,-1,-1,-1,2362,d0,,
1.63066E+12,22,-1,-1,-1,2490,d0,,
1.63066E+12,22,-1,-1,-1,2448,d0,,
1.63066E+12,22,-1,-1,-1,2448,d0,,
1.63066E+12,22,-1,-1,-1,2434,d0,,
1.63066E+12,22,-1,-1,-1,2458,d0,,
1.63066E+12,22,-1,-1,-1,2438,d0,,
1.63066E+12,22,-1,-1,-1,2424,d0,,
1.63066E+12,22,-1,-1,-1,2448,d0,,
1.63066E+12,22,-1,-1,-1,2386,d0,,
1.63066E+12,22,-1,-1,-1,2428,d0,,
1.63066E+12,23,-1,-1,-1,2424,d0,,
1.63066E+12,23,-1,-1,-1,2458,d0,,
1.63066E+12,36,-1,-1,-1,2458,d0,,
1.63066E+12,37,-1,-1,-1,2418,d0,,
1.63066E+12,37,-1,-1,-1,2458,d0,,
1.63066E+12,37,-1,-1,-1,2454,d0,,
1.63066E+12,37,-1,-1,-1,2432,d0,,
1.63066E+12,37,-1,-1,-1,2340,d0,,
1.63066E+12,37,-1,-1,-1,2458,d0,,
1.63066E+12,37,-1,-1,-1,2504,d0,,
1.63066E+12,37,-1,-1,-1,2428,d0,,
1.63066E+12,37,-1,-1,-1,2460,d0,,
1.63066E+12,37,-1,-1,-1,2464,d0,,
1.63066E+12,37,-1,-1,-1,2428,d0,,
1.63066E+12,37,-1,-1,-1,2474,d0,,
1.63066E+12,37,-1,-1,-1,2418,d0,,
1.63066E+12,37,-1,-1,-1,2452,d0,,
1.63066E+12,38,-1,-1,-1,2444,d0,,
1.63066E+12,38,-1,-1,-1,2458,d0,,
1.63066E+12,38,-1,-1,-1,2438,d0,,
1.63066E+12,38,-1,-1,-1,2434,d0,,
1.63066E+12,38,-1,-1,-1,2444,d0,,
1.63066E+12,38,-1,-1,-1,2454,d0,,
1.63066E+12,38,-1,-1,-1,2454,d0,,
1.63066E+12,38,-1,-1,-1,2412,d0,,
1.63066E+12,82,-1,-1,-1,2458,d0,,
1.63066E+12,82,-1,-1,-1,2434,d0,,
1.63066E+12,82,-1,-1,-1,2434,d0,,
1.63066E+12,82,-1,-1,-1,2452,d0,,
1.63066E+12,85,-1,-1,-1,2452,d0,,
1.63066E+12,85,-1,-1,-1,2434,d0,,
1.63066E+12,85,-1,-1,-1,2448,d0,,
1.63066E+12,264,-1,-1,-1,2696,d0,,
1.63066E+12,264,-1,-1,-1,2434,d0,,
1.63066E+12,264,-1,-1,-1,2438,d0,,
1.63066E+12,264,-1,-1,-1,2452,d0,,
1.63066E+12,265,-1,-1,-1,2424,d0,,
1.63066E+12,264,-1,-1,-1,2460,d0,,
1.63066E+12,265,-1,-1,-1,2442,d0,,
1.63066E+12,265,-1,-1,-1,2460,d0,,
1.63066E+12,265,-1,-1,-1,2434,d0,,
1.63066E+12,265,-1,-1,-1,2370,d0,,
1.63066E+12,266,-1,-1,-1,2496,d0,,
1.63066E+12,266,-1,-1,-1,2452,d0,,
1.63066E+12,266,-1,-1,-1,2506,d0,,
1.63066E+12,266,-1,-1,-1,2434,d0,,
1.63066E+12,267,-1,-1,-1,2452,d0,,
1.63066E+12,266,-1,-1,-1,2460,d0,,
1.63066E+12,267,-1,-1,-1,2428,d0,,
1.63066E+12,267,-1,-1,-1,2452,d0,,
1.63066E+12,267,-1,-1,-1,2428,d0,,
1.63066E+12,267,-1,-1,-1,2556,d0,,
1.63066E+12,267,-1,-1,-1,2452,d0,,
1.63066E+12,268,-1,-1,-1,2438,d0,,
1.63066E+12,267,-1,-1,-1,2460,d0,,
1.63066E+12,268,-1,-1,-1,2674,d0,,
1.63066E+12,268,-1,-1,-1,2470,d0,,
1.63066E+12,268,-1,-1,-1,2458,d0,,
1.63066E+12,268,-1,-1,-1,2434,d0,,
1.63066E+12,269,-1,-1,-1,2452,d0,,
1.63066E+12,269,-1,-1,-1,2458,d0,,
1.63066E+12,269,-1,-1,-1,2434,d0,,
1.63066E+12,269,-1,-1,-1,2434,d0,,
1.63066E+12,269,-1,-1,-1,2464,d0,,
1.63066E+12,270,-1,-1,-1,2442,d0,,
1.63066E+12,270,-1,-1,-1,2536,d0,,
1.63066E+12,270,-1,-1,-1,2614,d0,,
1.63066E+12,270,-1,-1,-1,2814,d0,,
1.63066E+12,270,-1,-1,-1,2470,d0,,
1.63066E+12,271,-1,-1,-1,2586,d0,,
1.63066E+12,271,-1,-1,-1,2578,d0,,
1.63066E+12,271,-1,-1,-1,2586,d0,,
1.63066E+12,271,-1,-1,-1,2566,d0,,
1.63066E+12,272,-1,-1,-1,2864,d0,,
1.63066E+12,271,-1,-1,-1,2572,d0,,
1.63066E+12,272,-1,-1,-1,2622,d0,,
1.63066E+12,272,-1,-1,-1,2776,d0,,
1.63066E+12,273,-1,-1,-1,2588,d0,,
1.63066E+12,273,-1,-1,-1,2586,d0,,
1.63066E+12,272,-1,-1,-1,2796,d0,,
1.63066E+12,273,-1,-1,-1,2588,d0,,
1.63066E+12,273,-1,-1,-1,2592,d0,,
1.63066E+12,274,-1,-1,-1,2576,d0,,
1.63066E+12,273,-1,-1,-1,2578,d0,,
1.63066E+12,274,-1,-1,-1,2812,d0,,
1.63066E+12,274,-1,-1,-1,2556,d0,,
1.63066E+12,274,-1,-1,-1,2592,d0,,
1.63066E+12,274,-1,-1,-1,2858,d0,,
1.63066E+12,274,-1,-1,-1,2582,d0,,
1.63066E+12,275,-1,-1,-1,2776,d0,,
1.63066E+12,274,-1,-1,-1,2560,d0,,
1.63066E+12,275,-1,-1,-1,2592,d0,,
1.63066E+12,275,-1,-1,-1,2576,d0,,
1.63066E+12,276,-1,-1,-1,2572,d0,,
1.63066E+12,276,-1,-1,-1,2560,d0,,
1.63066E+12,276,-1,-1,-1,2572,d0,,
1.63066E+12,317,-1,-1,-1,2644,d0,,
1.63066E+12,317,-1,-1,-1,2552,d0,,
1.63066E+12,317,-1,-1,-1,2632,d0,,
1.63066E+12,317,-1,-1,-1,2560,d0,,
1.63066E+12,317,-1,-1,-1,2634,d0,,
1.63066E+12,347,-1,-1,-1,2664,d0,,
1.63066E+12,347,-1,-1,-1,2504,d0,,
1.63066E+12,347,-1,-1,-1,2678,d0,,
1.63066E+12,347,-1,-1,-1,2596,d0,,
1.63066E+12,348,-1,-1,-1,2592,d0,,
1.63066E+12,348,-1,-1,-1,2560,d0,,
1.63066E+12,348,-1,-1,-1,2592,d0,,
1.63066E+12,348,-1,-1,-1,2576,d0,,
1.63066E+12,348,-1,-1,-1,2592,d0,,
1.63066E+12,348,-1,-1,-1,2582,d0,,
1.63066E+12,348,-1,-1,-1,2468,d0,,
1.63066E+12,348,-1,-1,-1,2614,d0,,
1.63066E+12,349,-1,-1,-1,2576,d0,,
1.63066E+12,349,-1,-1,-1,2560,d0,,
1.63066E+12,349,-1,-1,-1,2572,d0,,
1.63066E+12,349,-1,-1,-1,2592,d0,,
1.63066E+12,349,-1,-1,-1,2622,d0,,
1.63066E+12,349,-1,-1,-1,2570,d0,,
1.63066E+12,349,-1,-1,-1,2650,d0,,
1.63066E+12,349,-1,-1,-1,2572,d0,,
1.63066E+12,349,-1,-1,-1,2576,d0,,
1.63066E+12,350,-1,-1,-1,2706,d0,,
1.63066E+12,350,-1,-1,-1,2596,d0,,
1.63066E+12,350,-1,-1,-1,2556,d0,,
1.63066E+12,350,-1,-1,-1,2576,d0,,
1.63066E+12,350,-1,-1,-1,2596,d0,,
1.63066E+12,350,-1,-1,-1,2566,d0,,
1.63066E+12,350,-1,-1,-1,2540,d0,,
1.63066E+12,350,-1,-1,-1,2678,d0,,
1.63066E+12,351,-1,-1,-1,2812,d0,,
1.63066E+12,351,-1,-1,-1,2576,d0,,
1.63066E+12,351,-1,-1,-1,2592,d0,,
1.63066E+12,351,-1,-1,-1,2592,d0,,
1.63066E+12,351,-1,-1,-1,2566,d0,,
1.63066E+12,351,-1,-1,-1,2562,d0,,
1.63066E+12,351,-1,-1,-1,2588,d0,,
1.63066E+12,351,-1,-1,-1,2570,d0,,
1.63066E+12,351,-1,-1,-1,2582,d0,,
1.63066E+12,352,-1,-1,-1,2854,d0,,
1.63066E+12,352,-1,-1,-1,2598,d0,,
1.63066E+12,352,-1,-1,-1,2582,d0,,
1.63066E+12,352,-1,-1,-1,2562,d0,,
1.63066E+12,352,-1,-1,-1,2582,d0,,
1.63066E+12,352,-1,-1,-1,2578,d0,,
1.63066E+12,352,-1,-1,-1,2562,d0,,
1.63066E+12,352,-1,-1,-1,2576,d0,,
1.63066E+12,365,-1,-1,-1,2592,d0,,
1.63066E+12,365,-1,-1,-1,2612,d0,,
1.63066E+12,366,-1,-1,-1,2560,d0,,
1.63066E+12,366,-1,-1,-1,2596,d0,,
1.63066E+12,366,-1,-1,-1,2804,d0,,
1.63066E+12,366,-1,-1,-1,2582,d0,,
1.63066E+12,366,-1,-1,-1,2578,d0,,
1.63066E+12,366,-1,-1,-1,2496,d0,,
1.63066E+12,366,-1,-1,-1,2720,d0,,
1.63066E+12,366,-1,-1,-1,2582,d0,,
1.63066E+12,366,-1,-1,-1,2598,d0,,
1.63066E+12,366,-1,-1,-1,2582,d0,,
1.63066E+12,366,-1,-1,-1,2578,d0,,
1.63066E+12,366,-1,-1,-1,2566,d0,,
1.63066E+12,366,-1,-1,-1,2694,d0,,
1.63066E+12,366,-1,-1,-1,2552,d0,,
1.63066E+12,367,-1,-1,-1,2684,d0,,
1.63066E+12,367,-1,-1,-1,2578,d0,,
1.63066E+12,367,-1,-1,-1,2588,d0,,
1.63066E+12,367,-1,-1,-1,2520,d0,,
1.63066E+12,367,-1,-1,-1,2576,d0,,
1.63066E+12,367,-1,-1,-1,2598,d0,,
1.63066E+12,367,-1,-1,-1,2592,d0,,
1.63066E+12,367,-1,-1,-1,2552,d0,,
1.63066E+12,367,-1,-1,-1,2586,d0,,
1.63066E+12,367,-1,-1,-1,2622,d0,,
1.63066E+12,367,-1,-1,-1,2570,d0,,
1.63066E+12,367,-1,-1,-1,2596,d0,,
1.63066E+12,367,-1,-1,-1,2572,d0,,
1.63066E+12,367,-1,-1,-1,2562,d0,,
1.63066E+12,367,-1,-1,-1,2598,d0,,
1.63066E+12,368,-1,-1,-1,2592,d0,,
1.63066E+12,368,-1,-1,-1,2576,d0,,
1.63066E+12,368,-1,-1,-1,2562,d0,,
1.63066E+12,368,-1,-1,-1,2606,d0,,
1.63066E+12,368,-1,-1,-1,2648,d0,,
1.63066E+12,368,-1,-1,-1,2588,d0,,
1.63066E+12,368,-1,-1,-1,2694,d0,,
1.63066E+12,368,-1,-1,-1,2586,d0,,
1.63066E+12,368,-1,-1,-1,2562,d0,,
1.63066E+12,368,-1,-1,-1,2562,d0,,
1.63066E+12,368,-1,-1,-1,2634,d0,,
1.63066E+12,368,-1,-1,-1,2570,d0,,
1.63066E+12,401,-1,-1,-1,2572,d0,,
1.63066E+12,401,-1,-1,-1,2572,d0,,
1.63066E+12,402,-1,-1,-1,2634,d0,,
1.63066E+12,402,-1,-1,-1,2694,d0,,
1.63066E+12,440,-1,-1,-1,2822,d0,,
1.63066E+12,440,-1,-1,-1,2596,d0,,
1.63066E+12,440,-1,-1,-1,2576,d0,,
1.63066E+12,440,-1,-1,-1,2570,d0,,
1.63066E+12,440,-1,-1,-1,2570,d0,,
1.63066E+12,440,-1,-1,-1,2592,d0,,
1.63066E+12,440,-1,-1,-1,2582,d0,,
1.63066E+12,440,-1,-1,-1,2606,d0,,
1.63066E+12,440,-1,-1,-1,2598,d0,,
1.63066E+12,440,-1,-1,-1,2588,d0,,
1.63066E+12,440,-1,-1,-1,2842,d0,,
1.63066E+12,441,-1,-1,-1,2556,d0,,
1.63066E+12,441,-1,-1,-1,2588,d0,,
1.63066E+12,441,-1,-1,-1,2570,d0,,
1.63066E+12,441,-1,-1,-1,2632,d0,,
1.63066E+12,441,-1,-1,-1,2588,d0,,
1.63066E+12,441,-1,-1,-1,2844,d0,,
1.63066E+12,441,-1,-1,-1,2576,d0,,
1.63066E+12,441,-1,-1,-1,2560,d0,,
1.63066E+12,441,-1,-1,-1,2606,d0,,
1.63066E+12,441,-1,-1,-1,2566,d0,,
1.63066E+12,447,-1,-1,-1,2572,d0,,
1.63066E+12,447,-1,-1,-1,2596,d0,,
1.63066E+12,447,-1,-1,-1,2572,d0,,
1.63066E+12,447,-1,-1,-1,2504,d0,,
1.63066E+12,447,-1,-1,-1,2596,d0,,
1.63066E+12,447,-1,-1,-1,2778,d0,,
1.63066E+12,447,-1,-1,-1,2576,d0,,
1.63066E+12,447,-1,-1,-1,2618,d0,,
1.63066E+12,447,-1,-1,-1,2566,d0,,
1.63066E+12,447,-1,-1,-1,2582,d0,,
1.63066E+12,447,-1,-1,-1,2552,d0,,
1.63066E+12,447,-1,-1,-1,2732,d0,,
1.63066E+12,448,-1,-1,-1,2608,d0,,
1.63066E+12,448,-1,-1,-1,2566,d0,,
1.63066E+12,448,-1,-1,-1,2570,d0,,
1.63066E+12,448,-1,-1,-1,2592,d0,,
1.63066E+12,448,-1,-1,-1,2796,d0,,
1.63066E+12,448,-1,-1,-1,2586,d0,,
1.63066E+12,448,-1,-1,-1,2588,d0,,
1.63066E+12,448,-1,-1,-1,2694,d0,,
1.63066E+12,469,-1,-1,-1,2562,d0,,
1.63066E+12,469,-1,-1,-1,2968,d0,,
1.63066E+12,469,-1,-1,-1,2586,d0,,
1.63066E+12,469,-1,-1,-1,2560,d0,,
1.63066E+12,469,-1,-1,-1,2576,d0,,
1.63066E+12,469,-1,-1,-1,2606,d0,,
1.63066E+12,470,-1,-1,-1,2570,d0,,
1.63066E+12,470,-1,-1,-1,2598,d0,,
1.63066E+12,470,-1,-1,-1,2618,d0,,
1.63066E+12,470,-1,-1,-1,2596,d0,,
1.63066E+12,470,-1,-1,-1,2566,d0,,
1.63066E+12,470,-1,-1,-1,2578,d0,,
1.63066E+12,470,-1,-1,-1,2562,d0,,
1.63066E+12,471,-1,-1,-1,2732,d0,,
1.63066E+12,471,-1,-1,-1,2576,d0,,
1.63066E+12,471,-1,-1,-1,2566,d0,,
1.63066E+12,471,-1,-1,-1,2586,d0,,
1.63066E+12,471,-1,-1,-1,2606,d0,,
1.63066E+12,471,-1,-1,-1,2592,d0,,
1.63066E+12,471,-1,-1,-1,2660,d0,,
1.63066E+12,472,-1,-1,-1,2582,d0,,
1.63066E+12,492,-1,-1,-1,2566,d0,,
1.63066E+12,492,-1,-1,-1,2598,d0,,
1.63066E+12,492,-1,-1,-1,2588,d0,,
1.63066E+12,492,-1,-1,-1,2562,d0,,
1.63066E+12,492,-1,-1,-1,2608,d0,,
1.63066E+12,492,-1,-1,-1,2592,d0,,
1.63066E+12,492,-1,-1,-1,2588,d0,,
1.63066E+12,492,-1,-1,-1,2560,d0,,
1.63066E+12,492,-1,-1,-1,2598,d0,,
1.63066E+12,492,-1,-1,-1,2612,d0,,
1.63066E+12,492,-1,-1,-1,2560,d0,,
1.63066E+12,493,-1,-1,-1,2534,d0,,
1.63066E+12,493,-1,-1,-1,2586,d0,,
1.63066E+12,493,-1,-1,-1,2894,d0,,
1.63066E+12,493,-1,-1,-1,2566,d0,,
1.63066E+12,493,-1,-1,-1,2582,d0,,
1.63066E+12,493,-1,-1,-1,2588,d0,,
1.63066E+12,505,-1,-1,-1,2570,d0,,
1.63066E+12,505,-1,-1,-1,2570,d0,,
1.63066E+12,505,-1,-1,-1,2644,d0,,
1.63066E+12,505,-1,-1,-1,2578,d0,,
1.63066E+12,505,-1,-1,-1,2572,d0,,
1.63066E+12,506,-1,-1,-1,2576,d0,,
1.63066E+12,506,-1,-1,-1,2586,d0,,
1.63066E+12,506,-1,-1,-1,2864,d0,,
1.63066E+12,506,-1,-1,-1,2572,d0,,
1.63066E+12,506,-1,-1,-1,2612,d0,,
