Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630602346042,42,-1,-1,-1,2442,d0
1630602346067,67,-1,-1,-1,2408,d0000000
1630602346067,67,-1,-1,-1,2412,d0000000
1630602346067,67,-1,-1,-1,2540,d0000000
1630602346067,67,-1,-1,-1,2392,d0000000
1630602346067,67,-1,-1,-1,2402,d0000000
1630602346067,67,-1,-1,-1,2416,d0000000
1630602346067,67,-1,-1,-1,2398,d0000000
1630602346067,67,-1,-1,-1,2406,d0000000
1630602346068,68,-1,-1,-1,2432,d0000000
1630602346068,68,-1,-1,-1,2530,d0000000
1630602346068,68,-1,-1,-1,2388,d0000000
1630602346068,68,-1,-1,-1,2418,d0000000
1630602346068,68,-1,-1,-1,2402,d0000000
1630602346068,68,-1,-1,-1,2714,d0000000
1630602346068,68,-1,-1,-1,2388,d0000000
1630602346068,68,-1,-1,-1,2396,d0000000
1630602346069,69,-1,-1,-1,2416,d0000000
1630602346097,97,-1,-1,-1,2388,d0000000
1630602346097,97,-1,-1,-1,2304,d0000000
1630602346097,97,-1,-1,-1,2352,d0000000
1630602346098,98,-1,-1,-1,2418,d0000000
1630602346098,98,-1,-1,-1,2392,d0000000
1630602346098,98,-1,-1,-1,2418,d0000000
1630602346100,100,-1,-1,-1,2418,d0000000
1630602346100,100,-1,-1,-1,2474,d0000000
1630602346100,100,-1,-1,-1,2392,d0000000
1630602346100,100,-1,-1,-1,2320,d0000000
1630602346100,100,-1,-1,-1,2412,d0000000
1630602346100,100,-1,-1,-1,2388,d0000000
1630602346126,126,-1,-1,-1,2388,d0000000
1630602346127,127,-1,-1,-1,2416,d0000000
1630602346127,127,-1,-1,-1,2388,d0000000
1630602346127,127,-1,-1,-1,2418,d0000000
1630602346127,127,-1,-1,-1,2402,d0000000
1630602346127,127,-1,-1,-1,2432,d0000000
1630602346127,127,-1,-1,-1,2388,d0000000
1630602346128,128,-1,-1,-1,2406,d0000000
1630602346128,128,-1,-1,-1,2422,d0000000
1630602346128,128,-1,-1,-1,2396,d0000000
1630602346128,128,-1,-1,-1,2396,d0000000
1630602346128,128,-1,-1,-1,2398,d0000000
1630602346128,128,-1,-1,-1,2402,d0000000
1630602346128,128,-1,-1,-1,2408,d0000000
1630602346128,128,-1,-1,-1,2388,d0000000
1630602346131,131,-1,-1,-1,2422,d0000000
1630602346131,131,-1,-1,-1,2422,d0000000
1630602346150,150,-1,-1,-1,2392,d0000000
1630602346150,150,-1,-1,-1,2428,d0000000
1630602346150,150,-1,-1,-1,2398,d0000000
1630602346150,150,-1,-1,-1,2370,d0000000
1630602346151,151,-1,-1,-1,2454,d0000000
1630602346151,151,-1,-1,-1,2418,d0000000
1630602346178,178,-1,-1,-1,2432,d0000000
1630602346178,178,-1,-1,-1,2408,d0000000
1630602346178,178,-1,-1,-1,2668,d0000000
1630602346178,178,-1,-1,-1,2392,d0000000
1630602346178,178,-1,-1,-1,2412,d0000000
1630602346179,179,-1,-1,-1,2388,d0000000
1630602346179,179,-1,-1,-1,2392,d0000000
1630602346179,179,-1,-1,-1,2330,d0000000
1630602346179,179,-1,-1,-1,2416,d0000000
1630602346179,179,-1,-1,-1,2388,d0000000
1630602346179,179,-1,-1,-1,2412,d0000000
1630602346179,179,-1,-1,-1,2418,d0000000
1630602346179,179,-1,-1,-1,2408,d0000000
1630602346179,179,-1,-1,-1,2434,d0000000
1630602346181,181,-1,-1,-1,2422,d0000000
1630602346181,181,-1,-1,-1,2412,d0000000
1630602346181,181,-1,-1,-1,2314,d0000000
1630602346201,201,-1,-1,-1,2392,d0000000
